label,news_text,id,preprocessed_news_text
true,"Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.",1092,crimea becam part ukrain crimea histor part russia nikita khrushchev gave ukrain gestur mystifi peopl
mostly-true,Gov. Maggie Hassans budget proposal raises taxes on small businesses and increases taxes and fees by $100 million.,409,gov maggi hassan budget propos rais tax small busi increas tax fee 100 million
true,Says the Senate will have a record number of female senators in 2013.,5457,say senat record number femal senat 2013
pants-fire,"Technically, (Ted Cruz is) not even an American.",5824,technic ted cruz even american
true,"If you go strictly by the numbers, crime is down across the board. Last year we had a 10 percent decrease in the most serious crimes.",2058,go strictli number crime across board last year 10 percent decreas seriou crime
pants-fire,Q: What do these Patriotic Americans have in common? A: They are all Draft Dodgers.,5178,q patriot american common draft dodger
pants-fire,Scott Walker has a plan to privatize state lands and wants to sell our deer to the highest bidder.,987,scott walker plan privat state land want sell deer highest bidder
mostly-true,Georgias civil forfeiture laws are among the worst in the country and the very worst in the South.,1077,georgia civil forfeitur law among worst countri worst south
half-true,"Says that Mitt Romneys response to the crisis in the auto industry was, Let Detroit go bankrupt.",7634,say mitt romney respons crisi auto industri let detroit go bankrupt
barely-true,"You are prohibited from walking into the Capitol with a gun, but you can go after the County Commission or the School Board.",9898,prohibit walk capitol gun go counti commiss school board
false,78702 is the second-most gentrified ZIP code in the entire country.,8148,78702 gentrifi zip code entir countri
pants-fire,They talk about this problem with binding arbitration. It doesnt make a lot of sense to me to have somebody from Los Angeles fly into Zanesville and impose a wage settlement on you ... and then theyre on the plane back to Los Angeles.,3647,talk problem bind arbitr doesnt make lot sens somebodi lo angel fli zanesvil impos wage settlement theyr plane back lo angel
mostly-true,Says Ive authored the first bipartisan tax reform bill in a quarter-century.,7551,say ive author first bipartisan tax reform bill
mostly-true,Oil money from federal leases can only be used to clean up the mess and damages from drilling.,5499,oil money feder leas use clean mess damag drill
barely-true,(President Barack Obama) said unemployment was never gonna go over 8 percent if we passed the stimulus plan.,967,presid barack obama said unemploy never gon na go 8 percent pass stimulu plan
pants-fire,"Wisconsin sold fresh water to California, helping that states dairy industry, and lost a bunch of jobs (and) a bunch of farmland.",10197,wisconsin sold fresh water california help state dairi industri lost bunch job bunch farmland
true,Six justices on the U.S. Supreme Court have been confirmed in presidential election years since 1912.,7646,six justic suprem court confirm presidenti elect year sinc 1912
mostly-true,We jumped 11 places since beginning this year in terms of being job-friendly.,8540,jump 11 place sinc begin year term
half-true,Says 25 percent of Oregonians oppose the death penalty.,1727,say 25 percent oregonian oppos death penalti
mostly-true,"The United States ranks second worst in income inequality across developed countries, after taxes and transfers.",8460,unit state rank second worst incom inequ across develop countri tax transfer
half-true,"Ohio has created 45,000 new manufacturing jobs since 2010. And thats due in large part to the fact that the auto rescue has helped Ohio.",7585,ohio creat new manufactur job sinc that due larg part fact auto rescu help ohio
true,The fastest-growing part of the Pentagons budget are health care expenses.,1344,part pentagon budget health care expens
false,"About half of the presidents have been governors; half of them, senators.",118,half presid governor half senat
true,Massachusetts Sen. Scott Brown shows someone can be bipartisan in Congress because he votes about 66 percent with his own party.,4016,massachusett scott brown show someon bipartisan congress vote 66 percent parti
true,Ninety percent of Americans want our background check system strengthened and expanded to cover more gun sales.,1915,nineti percent american want background check system strengthen expand cover gun sale
false,We dont show people playing these games. We dont show them winning playing the video lottery games.,3777,dont show peopl play game dont show win play video lotteri game
half-true,Romney outsourced call center jobs to India.,5127,romney outsourc call center job india
true,Says Mitt Romney said he does not line up with the NRA.,7345,say mitt romney said line nra
pants-fire,The new Hartsfield-Jackson international terminal was on time and on budget.,5001,new intern termin time budget
half-true,Says Chuck Hagel opposed sanctions against Iran.,7423,say chuck hagel oppos sanction iran
barely-true,"Thompson ""voted against $250,000 caps on damages (and) almost anything that would make our legal system fairer.""",294,thompson vote cap damag almost anyth would make legal system fairer
half-true,"Hillary Clinton was against setting a deadline for withdrawal, but now she wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad.",8421,hillari clinton set deadlin withdraw want precipit withdraw regardless condit ground consequ defeat unit state rnc radio ad
mostly-true,"Many states without collective bargaining, such as Arizona, Nevada and North Carolina, have far larger budget deficits than many that do, including Ohio.",6946,mani state without collect bargain arizona nevada north carolina far larger budget deficit mani includ ohio
half-true,The largest enterprise in the world is the federal government of the United States of America,8862,largest enterpris world feder govern unit state america
pants-fire,"Very, very, very few people get a pat-down when they go through airport security.",7888,peopl get go airport secur
true,Republican redistricting plans cut Democrat Nancy Nusbaum out of her state Senate district by a half a block.,6003,republican redistrict plan cut democrat nanci nusbaum state senat district half block
mostly-true,"Under the Espionage Act, (Edward Snowden would not be) allowed to come into court and say I was justified in disclosing this information. There is no whistleblower exception in the Espionage Act.",1622,espionag act edward snowden would allow come court say justifi disclos inform whistleblow except espionag act
barely-true,"Its bad enough that (Stephen) Silberkraus appeared in a sexual fetish film where women were kidnapped from their homes and forced to live naked in kennels and trained to be pets. But when Silberkraus isnt acting in films that degrade women, hes stalking them in his personal time.",2987,bad enough stephen silberkrau appear sexual fetish film women kidnap home forc live nake kennel train pet silberkrau isnt act film degrad women he stalk person time
true,Says Ohio has 77 job training programs spread across 13 state agencies.,9177,say ohio 77 job train program spread across 13 state agenc
mostly-true,Geithner's failure to pay self-employment taxes while working for the IMF is a mistake that is commonly made for people who are working internationally or for international institutions.,5543,geithner failur pay tax work imf mistak commonli made peopl work intern intern institut
pants-fire,Says for the duration of this recession not a single person in government middle management has lost (a) job or taken a pay cut.,4049,say durat recess singl person govern middl manag lost job taken pay cut
half-true,New Jerseys poverty rate has increased since this governor took office and the number of New Jerseyans without health insurance has risen.,6428,new jersey poverti rate increas sinc governor took offic number new jerseyan without health insur risen
mostly-true,"After (Jeb) Bushs two terms in office, Floridas graduation rate was dead last and remains near the bottom.",925,jeb bush two term offic florida graduat rate dead last remain near bottom
false,On using the Strategic Petroleum Reserve.,296,use strateg petroleum reserv
half-true,Donald Trumps decision to skip the Fox News/Google debate in Des Moines is near unprecedented.,2900,donald trump decis skip fox debat de moin near unpreced
barely-true,"Obama ""says he'll raise taxes on electricity.""",1482,obama say rais tax electr
true,"In total, we have added nearly 75,000 private sector jobs in New Jersey since we took office in January 2010.",3950,total ad nearli privat sector job new jersey sinc took offic januari 2010
half-true,Our tax code is so complicated it extracts $140 billion in extra tax preparation costs every year - one thousand dollars for every American family.,4007,tax code complic extract 140 billion extra tax prepar cost everi year one thousand dollar everi american famili
barely-true,Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.,284,say jeann shaheen vote measur would amount new nation energi tax
false,Says Gerald Daugherty is endorsed by the Austin American-Statesman.,4633,say gerald daugherti endors austin
half-true,"Says John Raese said he wants 1,000 laser systems put in the sky, and we need it right now.",8646,say john raes said want laser system put sky need right
true,"If you are African-American in this country today, you are likely to have a net worth of about 10 percent of what white families have.",8117,countri today like net worth 10 percent white famili
mostly-true,"Now remember, property taxes went up 70 percent in the 10 years before I became governor.",7538,rememb properti tax went 70 percent 10 year becam governor
half-true,"Since I took office, Wisconsin now has the 2nd highest health care quality ranking in the country.",4843,sinc took offic wisconsin 2nd highest health care qualiti rank countri
true,I don't do earmarks. I've never done one. I'm not going to do one.,6022,earmark never done one go one
half-true,Says health insurance premiums will rise under Obamacare.,2752,say health insur premium rise obamacar
false,Says Ted Kennedy sent a letter to then Soviet leader Yuri Andropov apologizing for Ronald Reagan and begging the Soviets not to overreact.,1991,say ted kennedi sent letter soviet leader yuri andropov apolog ronald reagan beg soviet overreact
barely-true,When Obama took office the economy of the United States was actually shrinking for the first time in about 70 years.,1820,obama took offic economi unit state actual shrink first time 70 year
pants-fire,I'm glad for the wording of it (an ethics report on corporate-sponsored Congressional trips) because clearly the wording exonerates me.,1236,glad word ethic report congression trip clearli word exoner
true,The substitute budget now adds in tax breaks and tax deductions for those who buy these prisons.,6857,substitut budget add tax break tax deduct buy prison
pants-fire,"When Josh Mandel claims to have accepted three debates with Sen. Sherrod Brown, he is lying. He has accepted ZERO proposed debates.",5672,josh mandel claim accept three debat sherrod brown lie accept zero propos debat
true,The deficit was on track to top $1 trillion the year I took office.,2634,deficit track top 1 trillion year took offic
true,What happens is people like Warren Buffett and he says this himself...pay 15 percent on the millions of dollars that they earn from wealth income... while their secretary is paying a higher rate on her work income. It's not right.,1960,happen peopl like warren buffett say pay 15 percent million dollar earn wealth incom secretari pay higher rate work incom right
true,(My dad) used to campaign against the gas-guzzling dinosaurs.,6513,dad use campaign dinosaur
barely-true,Taking all the money of the top 1 percent wouldnt keep Medicare going for three years.,7763,take money top 1 percent wouldnt keep medicar go three year
false,"Under a proposal by Rep. Paul Ryan, people on Medicare will only have $15,000 from the federal government to spend on their health care.",9983,propos paul ryan peopl medicar feder govern spend health care
half-true,The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.,334,star ohio fund receiv highest possibl credit rate one fund receiv
half-true,The annual cost of free tax credits alone paid to illegal immigrants quadrupled to $4.2 billion in 2011.,5264,annual cost free tax credit alon paid illeg immigr quadrupl billion 2011
pants-fire,"Gov. Scott Walker (is) more than halfway to (his) 250,000 jobs goal.",10205,gov scott walker halfway job goal
barely-true,The debt-ceiling bill doesnt cut the debt. It will add about $7 trillion in new debt over the next 10 years.,5887,bill doesnt cut debt add 7 trillion new debt next 10 year
barely-true,"People on potshoot each other ...stab each other ...strangle each other, drive under the influence, kill families.",4705,peopl potshoot stab strangl drive influenc kill famili
mostly-true,Americans now spend 100 days out of the year working for government before we even start working for ourselves.,4709,american spend 100 day year work govern even start work
mostly-true,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",123,citi columbu would save 41 million year employe contribut pension
barely-true,"President Obamas budget would call for about $25 trillion in debt by the end of his term, if he was re-elected.",1227,presid obama budget would call 25 trillion debt end term
pants-fire,Says Wisconsin Gov. Scott Walker is denying Democrats the right to vote.,4185,say wisconsin gov scott walker deni democrat right vote
barely-true,Michelle Nunn ranks agriculture issues as the 18th most important items facing Georgia.,3814,michel nunn rank agricultur issu 18th import item face georgia
true,"When Social Security was passed, there were all kinds of lawsuits, just as there have been in the legal battle over the new health care law.",2221,social secur pass kind lawsuit legal battl new health care law
half-true,The list of voters that North Carolina Republicans tried to purge was two-thirds black and Democratic.,5781,list voter north carolina republican tri purg black democrat
barely-true,Says an unchecked Democratic Majority in Trenton is responsible for years of diversions from the states unemployment insurance trust fund.,7367,say uncheck democrat major trenton respons year divers state unemploy insur trust fund
half-true,"Under the ruling of the Supreme Court, any lobbyist could go into any legislator and say, if you don't vote our way on this bill, we're going to run a million-dollar campaign against you in your district.",10233,rule suprem court lobbyist could go legisl say vote way bill go run campaign district
pants-fire,Every signer of the Declaration of Independence had no federal elected office experience.,2396,everi signer declar independ feder elect offic experi
pants-fire,Says Michelle Obama has 43 people on her staff; Nancy Reagan had just 3.,939,say michel obama 43 peopl staff nanci reagan 3
mostly-true,"Job losses are so certain under this new cap-and-tax plan that it includes a provision accommodating newly unemployed workers from the resulting dried-up energy sector, to the tune of $4.2 billion over eight years. So much for creating jobs.",2249,job loss certain new plan includ provis accommod newli unemploy worker result energi sector tune billion eight year much creat job
true,"The national debt ""has gone up by $1,729,000,000 during the Isner v. Mahut match.""",7633,nation debt gone isner mahut match
false,Says Panasonic stayed in New Jersey because of the Business Retention and Relocation Assistance Grant (BRRAG) program.,6052,say panason stay new jersey busi retent reloc assist grant brrag program
false,"In the past, President Obama has refused to meet with representatives from Cuban exile organizations.",8906,past presid obama refus meet repres cuban exil organ
false,"In 2011, (the Islamic State) attempted to attack Fort Knox.",9198,2011 islam state attempt attack fort knox
pants-fire,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",100,atlanta streetcar expect creat 930 job construct total job next 20 year
false,"Says nobody in higher education believes Gov. Rick Perrys proposal to serve up $10,000 college degrees is possible.",1468,say nobodi higher educ believ gov rick perri propos serv colleg degre possibl
pants-fire,"When the mayor of Providences brother wrote over 100 grand in bad checks to the city, Joe Fernandez didnt have the guts to prosecute him. He let him off the hook.",9428,mayor provid brother wrote 100 grand bad check citi joe fernandez didnt gut prosecut let hook
false,On the Cuba embargo.,2008,cuba embargo
false,"Social Security, like I told you, is out of money. This year it is borrowing from the general treasury.",8179,social secur like told money year borrow gener treasuri
true,Says President Franklin Delano Roosevelt felt there wasnt a need in the public sector to have collective bargaining because the government is the people.,3126,say presid franklin delano roosevelt felt wasnt need public sector collect bargain govern peopl
mostly-true,In other states (where illegal immigrants have been allowed to get drivers licenses) their insurance premiums for everybody have gone down.,8621,state illeg immigr allow get driver licens insur premium everybodi gone
mostly-true,The Republicans have 2 percent of the Muslim vote.,189,republican 2 percent muslim vote
pants-fire,"Says President Barack Obama has taken less vacation days than any other president in a generation, while Congress has taken more vacation days than any other Congress in history.",1729,say presid barack obama taken less vacat day presid gener congress taken vacat day congress histori
true,"We have lost 600,000 jobs over the period of the last 10 years. Only Michigan and California have done worse.",7660,lost job period last 10 year michigan california done wors
barely-true,"Patrick Murphy voted for Obamacare in 2010, yet he reversed himself and voted to delay the employer mandate and the individual mandate.",3838,patrick murphi vote obamacar 2010 yet revers vote delay employ mandat individu mandat
mostly-true,Says Mark Warner has supported restrictions on veterans second amendment rights.,8413,say mark warner support restrict veteran second amend right
half-true,Says the United States has the worlds greatest health care system.,8841,say unit state world greatest health care system
barely-true,"As Milwaukee County executive, Scott Walker eliminated the waiting list for long-term care for older adults through the Family Care program.",9435,milwauke counti execut scott walker elimin wait list care older adult famili care program
pants-fire,Says the federal government mandates transexuals (sic) and homosexuals grabbing children in their stranger-danger zones in the name of airport security.,1857,say feder govern mandat transexu sic homosexu grab children zone name airport secur
false,I actually started criticizing the war in Iraq before (Obama) did.,6107,actual start critic war iraq obama
pants-fire,The goal of Common Core is to instill federally determined attitudes and mindsets in students including political and religious beliefs.,6501,goal common core instil feder determin attitud mindset student includ polit religi belief
pants-fire,Scott Fisher tried to expand Obamacare in Texas and even voted for an official resolution to force 1 million Texans into Obamacare.,7141,scott fisher tri expand obamacar texa even vote offici resolut forc 1 million texan obamacar
true,Measles is one of the most common causes of child blindness worldwide.,2076,measl one common caus child blind worldwid
half-true,"Says Rep. Charlie Bass, R-NH voted to raise his own pay eight times",6295,say charli bass vote rais pay eight time
false,The top 1 percent pay over half of the entire revenue for this country.,274,top 1 percent pay half entir revenu countri
half-true,"Says U.S. Senate rival Tommy Thompson wants to give a new $265,000 tax cut to millionaires like himself while raising taxes on the middle class.",2829,say senat rival tommi thompson want give new tax cut millionair like rais tax middl class
pants-fire,A Trump television ad shows Mexicans swarming over our southern border.,9827,trump televis ad show mexican swarm southern border
barely-true,"Due to the sequester, people are going to be unsafe. Homes are going to burn.",5690,due sequest peopl go unsaf home go burn
false,Rhode Islands graduated driving license has saved hundreds of lives.,8878,rhode island graduat drive licens save hundr live
barely-true,We would be just like North Carolina with HB2-like (transgender bathroom) legislation. It actually passed our chamber and I vetoed it.,9262,would like north carolina transgend bathroom legisl actual pass chamber veto
half-true,Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.,314,report gop insist chang social secur part fiscalcliff fals btw chang support barackobama
barely-true,"When you were casting your vote for Republicans, Brian Kemp was voting for Democrats.	message-machine,voting-record	doug-macginnitie	Sandy Springs City Councilman	Georgia	republican	1	1	0	0	0	a campaign commercial
789.json	half-true	I want to give every American a $5,000 refundable tax credit.""",6172,cast vote republican brian kemp vote democrat sandi spring citi councilman georgia republican 1 1 0 0 0 campaign commerci want give everi american refund tax credit
half-true,"If we increase fuel efficiency standards to 40, 45 miles a gallon, we would have to import zero oil from the Middle East.",4427,increas fuel effici standard 40 45 mile gallon would import zero oil middl east
false,"Says actor Dwayne The Rock Johnson wore a T-shirt stating: We Stand for the flag, we kneel for the fallen.",5116,say actor dwayn rock johnson wore state stand flag kneel fallen
pants-fire,Was Martha Kanter dispatched to Corvallis with $17 million in stimulus money to save Craig Robinsons job?,1372,martha kanter dispatch corval 17 million stimulu money save craig robinson job
mostly-true,"Florida is one of the few states that has actually had a narrowing of the achievement gap based on income, or based on race or ethnicity.",3784,florida one state actual narrow achiev gap base incom base race ethnic
false,Our credit rating went up since Ive been in office.,956,credit rate went sinc ive offic
mostly-true,Ninety percent of American workers dont own their own business.,4639,nineti percent american worker dont busi
false,"Says Sen. John McCain spent the July 4 weekend in Islamabad, Pakistan, selling F-16s and advanced weapons to the folks who harbored Osama bin Laden.",946,say john mccain spent juli 4 weekend islamabad pakistan sell advanc weapon folk harbor osama bin laden
barely-true,"After the Texas cutoff of aid to womens health care services including Planned Parenthood clinics, over 150,000 women lost the only health care they had. Our Medicaid birth rate shot up. It cost taxpayers over $130 million in one year alone in extra Medicaid birth costs.",3926,texa cutoff aid women health care servic includ plan parenthood clinic women lost health care medicaid birth rate shot cost taxpay 130 million one year alon extra medicaid birth cost
pants-fire,"The Obama White House is renaming Christmas trees ""holiday trees.""",4848,obama white hous renam christma tree holiday tree
barely-true,"Says Bill Clinton gave a speech in 1996 about Iraq having WMDs and said we needed a regime change, even though everyone blamed those things on George W. Bush.",9146,say bill clinton gave speech 1996 iraq wmd said need regim chang even though everyon blame thing georg bush
true,Oregonians have an amazing no-cost way to fight abortion with free political donations,135,oregonian amaz way fight abort free polit donat
mostly-true,Says U.S.-Mexico border has 1 million legal border crossings each and every day.,6709,say border 1 million legal border cross everi day
barely-true,Red light camera installed to promote public safety.,6340,red light camera instal promot public safeti
false,Kathryn Starkey joined forces with liberal Democrats on a historic sales tax hike.,2122,kathryn starkey join forc liber democrat histor sale tax hike
half-true,Together we added more jobs than any other area while I was Dane County executive.,9310,togeth ad job area dane counti execut
half-true,"Since President Obama took full control of Washington, every day, 13,000 more people have been put on food stamps.",7718,sinc presid obama took full control washington everi day peopl put food stamp
true,Members of the public are being charged $50 to hear Gov. Scott Walker and a dozen members of his administration talk about jobs and the economy at Lambeau Field.,4309,member public charg 50 hear gov scott walker dozen member administr talk job economi lambeau field
pants-fire,"Under Scott Walker, Wisconsin unemployments up from 4.8% to 6.2%",3099,scott walker wisconsin unemploy
false,Says U.S. Rep. Paul Ryans budget proposal eliminates Medicare in 10 years.,3003,say paul ryan budget propos elimin medicar 10 year
barely-true,"The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.",293,cbo congression budget offic said obamacar kill job
false,Says iPads and iPhones are built in the United States of America.,5963,say ipad iphon built unit state america
barely-true,"Over the last 40 years, real wage growth has been flatlined because of the policies of the Federal Reserve ... It was all driven by the Federal Reserve.",2430,last 40 year real wage growth flatlin polici feder reserv driven feder reserv
mostly-true,Says Mitt Romney was director of a company that stole millions from Medicare.,3478,say mitt romney director compani stole million medicar
half-true,Says Gov. Rick Perry was for Wall Street bailout before he was against it.,1194,say gov rick perri wall street bailout
true,"George Allen voted to add $3 trillion to the federal debt, voted to raise the debt ceiling four times and voted for the No Child Left Behind Act while he was a senator.",8644,georg allen vote add 3 trillion feder debt vote rais debt ceil four time vote child left behind act senat
half-true,Says his proposed education spending is the highest state funding level in Florida history.,6027,say propos educ spend highest state fund level florida histori
pants-fire,A company with 20 employees could go out of business because of health care law requirements to buy insurance.,8474,compani 20 employe could go busi health care law requir buy insur
mostly-true,"Says under the Senate immigration bill, newly legalized immigrants will pay every tax possible, but you dont get a single benefit for 10 years.",7092,say senat immigr bill newli legal immigr pay everi tax possibl dont get singl benefit 10 year
half-true,President Barack Obama supports immigration amnesty.,4831,presid barack obama support immigr amnesti
half-true,Says Ted Cruz wanted to let in more Syrian refugees and give amnesty to illegal immigrants.,2339,say ted cruz want let syrian refuge give amnesti illeg immigr
true,The very first meal on the surface of the moon was the Holy Communion.,8158,first meal surfac moon holi communion
pants-fire,"Says Marco Rubio said we should be considering internment of Muslims, and maybe we should close down cafes and diners where Muslims gather and in fact compared them to the Nazi party.",9401,say marco rubio said consid intern muslim mayb close cafe diner muslim gather fact compar nazi parti
false,"Over the next two years, this $1.8 billion deficit will cost individual Wisconsinites $300 each, or $1,200 for families of four.",9211,next two year billion deficit cost individu wisconsinit 300 famili four
true,Says legislative cuts mean Texas is spending on average $500 less per student.,414,say legisl cut mean texa spend averag 500 less per student
true,Says Central Texas river water sent to downstream rice farmers in 2011 equaled about three years worth of Austins water use.,1246,say central texa river water sent downstream rice farmer 2011 equal three year worth austin water use
half-true,"Private prisons do not chase escaped inmates past the perimeter like the public prisons do, which means more escaped prisoners in our communities.",8168,privat prison chase escap inmat past perimet like public prison mean escap prison commun
half-true,"Paul Ryans Medicare plan could raise future retirees costs more than $6,000.",1237,paul ryan medicar plan could rais futur retire cost
false,Says Patrick Murphy advocated for cuts to Social Security and Medicare.,9493,say patrick murphi advoc cut social secur medicar
half-true,"For educational testing, Florida has chosen a company that has a significant history of promoting identification of the GLBT lifestyle for children as young as seven years old.",9611,educ test florida chosen compani signific histori promot identif glbt lifestyl children young seven year old
mostly-true,U.S. Sen. Johnny Isakson has voted for $7 trillion of our national debt!,9467,johnni isakson vote 7 trillion nation debt
pants-fire,The unemployment rate may be as high as 42 percent.,443,unemploy rate may high 42 percent
barely-true,"Says no, youre wrong, responding to the assertion that stop-and-frisk was ruled unconstitutional in New York.",5834,say your wrong respond assert rule unconstitut new york
pants-fire,We dont have any chess grandmasters in the United States.,6141,dont chess grandmast unit state
true,"There was a Gallup poll in Egypt last year, and 70 percent of Egyptians dont want our money.",544,gallup poll egypt last year 70 percent egyptian dont want money
barely-true,"We have, right now, Hezbollah, which is working throughout Latin America, in Venezuela, in Mexico, throughout Latin America, which poses a very significant and imminent threat to the United States of America.",979,right hezbollah work throughout latin america venezuela mexico throughout latin america pose signific immin threat unit state america
